id,question,solution,category
47,Define or explain: Stack,"A last-in, first-out memory region commonly used for function calls, local variables, saved registers, and return addresses.",Defintions
48,Define or explain: Stack pointer,A register that holds the address of the current top of the stack.,Defintions
49,Define or explain: Application binary interface and the mechanim for subroutine calls,"An ABI defines low-level calling conventions such as argument passing, return values, register usage, stack layout, and how subroutines call and return.",Defintions
50,Define or explain: Stack overflow,A failure that occurs when the stack grows beyond its allocated memory region.,Defintions
51,Define or explain: Buffer overflow,A bug where writes exceed the bounds of a buffer and overwrite adjacent memory.,Defintions
52,Define or explain: Return address,The instruction address saved during a call so execution can resume after the subroutine returns.,Defintions
53,Define or explain: Stack frame,"The portion of the stack used by one function call, typically containing saved state, local variables, arguments, and a return address.",Defintions
54,Define or explain: Interrupt,An event that causes the processor to suspend normal execution and run an interrupt handler.,Defintions
55,Define or explain: Exception,"A synchronous event caused by the currently executing instruction, such as divide-by-zero, invalid instruction, or page fault.",Defintions
56,Define or explain: Interrupt handler,A routine executed in response to an interrupt to service the event and then return control.,Defintions
57,Define or explain: Interrupt vector,A table or address mechanism used to find the correct handler for an interrupt or exception.,Defintions
58,Define or explain: Program counter,A register holding the address of the next instruction to fetch or execute.,Defintions
59,Define or explain: System calls,Controlled requests from user programs to the operating system for privileged services.,Defintions
60,Define or explain: Software interrupts,Instructions or traps deliberately executed by software to transfer control to an operating system handler.,Defintions
61,Define or explain: Timing interrupt,A periodic or scheduled timer interrupt used by the operating system for tasks such as preemptive scheduling.,Defintions
62,Define or explain: Protection,Hardware and operating-system mechanisms that isolate programs and restrict access to privileged resources.,Defintions
63,Define or explain: Privileged execution,"A processor mode that permits protected operations such as configuring memory management, handling interrupts, or accessing devices.",Defintions
64,Define or explain: Position independent code,Code that can run correctly regardless of the memory address where it is loaded.,Defintions
65,Define or explain: Virtual memory,A memory abstraction that gives programs virtual address spaces mapped to physical memory by hardware and the operating system.,Defintions
66,Define or explain: Pages,Fixed-size blocks of virtual memory used as the unit of address translation and protection.,Defintions
67,Define or explain: Virtual addresses,Addresses generated by a program before translation by the memory management unit.,Defintions
68,Define or explain: Physical addresses,Addresses that refer to actual locations in main memory after address translation.,Defintions
69,Define or explain: Page table,A data structure mapping virtual pages to physical frames and storing permissions or status bits.,Defintions
70,Define or explain: Page faults,"Exceptions raised when a virtual page translation is missing, invalid, or violates permissions.",Defintions
71,Define or explain: Translation Lookaside Buffer (TLB),A small cache of recent virtual-to-physical address translations.,Defintions
72,"The Hex 8 ISA has 8-bit instructions consisting of a 4-bit opcode and a 4-bit operand.\
The PFIX (prefix) instruction allows the following:\
A. System calls.\
B. Memory protection.\
C. 8-bit operands.\
D. 8-bit opcodes.\
E. The processor to halt execution.","The PFIX instruction comes from the Transputer. It combines its 4-bit\
operand with the 4-bit operand of the following instruction. The PFIX operand is\
used as the most-significant bits of the 8-bit operand of the following instruction.",Architecture and Micro-architecture
73,"The Hex 8 ISA has 8-bit instructions consisting of a 4-bit opcode and a 4-bit operand.\
The PFIX (prefix) instruction allows operands to be extended to 8-bits, at the cost of\
executing this extra instruction.\
Which of the following changes would allow for 8-bit operands, without the need for an\
extra instruction or increasing the latency of the instructions?\
A. Extend the instruction length to 12 or more bits.\
B. Store operands in memory.\
C. Store operands in a register.\
D. Use an assembler to extend the operands by 4 bits.\
E. Append a fixed 4-bit number to the operands.","The PFIX instruction comes from the Transputer. It combines its 4-bit\
operand with the 4-bit operand of the following instruction.\
The question asks what other solution could extend the operands, without increasing\
the number of instructions or adding latency. The only viable solution of those given\
is to extend the length of the instruction.\
The other answers would either not work (appending a fixed 4-bit number or use\
a “magic” assembler), or increase latency and/or require additional instructions to\
support 8-bit operands (storing in registers/memory).",Architecture and Micro-architecture
74,"The Hex 8 ISA has a word length of 8 bits. Each instruction is formed of a 4-bit opcode\
and a 4-bit operand, which limits the number of instructions to 16.\
Some of the instructions in the Hex 8 ISA do not require operands. Which of the following\
schemes would allow the ISA to be expanded to contain 31 instructions, while retaining\
4-bit opcodes which can be decoded in a single cycle?\
A. Include an instruction to specify the operand is to be interpreted as an opcode\
of an instruction which doesn’t require an operand. E.g. EXE ADD\
B. Send an interrupt to indicate the instruction opcode is larger than 16. E.g. A\
4-bit opcode refers to two instructions depending on an interrupt signal\
C. Use a mechanism similar to the PFIX instruction to construct the opcode from\
two instructions\
D. Write a micro-program to implement the additional instructions","The only way to get 31 instructions of the solutions listed is to use one\
instruction of the original 16 to designate the operand is the opcode. This yields\
15 + 16 = 31 instructions.\
The other methods yield 32 and are impractical, require two cycles or are incorrect\
(respectively).",Architecture and Micro-architecture
75,"Many Instruction Set Architectures, including x86 and Arm, provide extensions to support\
SIMD vector instructions. These instructions perform the same operation on each element\
of the vector.\
Two input programs are written, both performing the same total number of computations\
(arithmetic operations). One uses SIMD vector instructions and the other does not.\
Which of these statements is true?\
A. The program which uses vector instructions results in fewer instructions to be\
fetched and decoded.\
B. The program which uses vector instructions results in more instructions to be\
fetched and decoded.\
C. The program which uses vector instructions results in more computations to be\
performed by the processor.\
D. The program which uses vector instructions results in fewer computations to\
be performed by the processor.\
E. The program which uses vector instructions results will always take longer to\
execute.","The vector program will contain fewer instructions, and so fewer instructions will be\
fetched/decoded for a fixed amount of arithmetic.\
The question contains no detail about the speed of execution or the implementation\
of the SIMD instructions in the micro-architecture. Therefore the answer regarding\
speed of execution is not always true.",Architecture and Micro-architecture
76,"When a micro-architecture is designed, which of the following factors might be considered\
when implementing a particular architecture?\
A. Thermal design power (the maximum heat generated by the processor).\
B. The speed of the clock.\
C. Production yield.\
D. All of the above.\
E. None of the above.","All of the three listed factors are important when implementing an archi-\
tecture, along with many others.",Architecture and Micro-architecture
77,"A processor uses a micro-programmed control unit. There are many advantages to this\
approach over a hardwired control unit. Which one of these statements correctly describes\
such an advantage?\
A. It can support more instructions than a hardwired control unit\
B. It allows a more complex instruction set to be implemented more conveniently\
C. General programs can change the micro-code so users can change the processor\
function\
D. Micro-programs are the only way to implement a control unit","Application of knowledge from the lectures.\
Micro-programs are hidden from the ISA so cannot be changed by the users. Hard-\
wired control is an alternative implementation of the control unit which can implement\
lots of complex instructions; although in practice it wouldn’t be done it is still possible.\
The correct answer is therefore that micro-programmed control a matter of conve-\
nience.",Architecture and Micro-architecture
78,"A Control Unit in the micro-architectural design of a processor is used to control the Data\
Path so that it performs whatever is required for the current instruction. Some processor\
designs implement this unit manually, but others use micro-programs instead, especially\
when there are a large number of instructions. When an instruction is decoded, what\
must the Decoder do in a micro-programmed control processor?\
A. Fetch the next instruction from memory.\
B. Set the architectural program counter according to the decoded opcode.\
C. Set the micro-program counter to the start of the corresponding micro-program\
for the decoded opcode.\
D. Send a 1-bit signal on the control bus to the Control Unit corresponding to the\
decoded opcode.\
E. Put the opcode on the data bus.","The decoder will set the micro-program counter to the address of the\
micro-program for that particular opcode.\
The main program counter won’t be set as a result of the decoder (ever) – branch\
instructions may do this, but not directly by the decoder.\
A 1-bit signal on the control bus will be insufficient for an ISA with more than 2\
instructions. The question highlighted the case where there are a large number of\
instructions. Selecting this answer would suggest a hardwired control unit, but the\
question says the processor is controlled by a micro-program.\
The other options are spurious.",Architecture and Micro-architecture
79,"An Instruction Set Architecture (ISA), such as Arm or x86, gives lots of information about\
what a processor should do. Which of the following does an ISA not define?\
A. The number of architectural registers.\
B. The latency of each instruction.\
C. The instruction format.\
D. The memory addressing modes.\
E. Binary representation of the opcodes.","The ISA defines all things listed except the latency of each instruction,\
which is a micro-architectural feature.\
It might be possible to implement an ISA with a different binary representation of each\
opcode, however this would result in binary incompatibility of programs conforming\
to the ISA, and this is not done in practice.",Architecture and Micro-architecture
80,"A processor designer has correctly implemented an ISA, and used a micro-programmed\
control unit. They have only provided one program counter register for use by the stored\
program and the control micro-program. What is the problem with this?\
A. The micro-program will overwrite memory.\
B. Program instructions may be skipped.\
C. The implementation is inefficient as the program counter must be saved to\
memory so that it can be used to execute the micro-program for each instruction.\
D. The micro-program is incorrect.\
E. The program must be written in micro-instructions.","The micro-programmed control unit typically has its own micro-program\
counter so that it can execute the micro-program. With a shared register, the (main)\
program counter needs to be backed up each cycles, which is inefficient. Without\
doing this, program instructions could be skipped, however the question assumes\
the implementation is correct. Writing programs directly in micro-instructions would\
resolve the issue of a lack of a separate program counter, however would no longer\
be valid on the processor as it implements the ISA, not the micro-program.",Architecture and Micro-architecture
81,"A program has the following mix of instructions:\
```text
Instruction  Cycles  Frequency
Load         8       30%
Store        9       15%
Branch       11      25%
Arithmetic   3       30%
```
What is the average number of clock cycles per instruction (CPI) for this program?\
A. 1.00\
B. 7.40\
C. 7.75\
D. 23.87\
E. 740.00","The CPI is computed as the weighted average of the instruction cycles\
where the weights are the frequencies.\
CP I = 8 × 30 + 9 × 15 + 11 × 25 + 3 × 30\
100 = 7.40",Architecture and Micro-architecture
82,"A program has the following mix of instructions:\
```text
Instruction  Cycles  Frequency
Load         4       20%
Store        4       15%
Branch       8       5%
Arithmetic   1       60%
```
What is the average number of clock cycles per instruction (CPI) for this program?\
A. 2.40\
B. 14.12\
C. 2.08\
D. 43.53\
E. 0.17","The CPI is computed as the weighted average of the instruction cycles\
where the weights are the frequencies.\
CP I = 4 × 20 + 4 × 15 + 8 × 5 + 1 × 60\
100 = 2.4",Architecture and Micro-architecture
83,"A breakdown of the instructions in a program is given in the following table. The table gives the number of cycles taken by each instruction.\
```text
Instruction  Cycles  Count
Load         4       20
Store        4       15
Branch       8       5
Arithmetic   1       58
```
Consider a scalar (non-pipelined) processor which has no data caches, clocked at 1000 cycles per second (1 KHz). How long does the program in the above table take to run on this processor?\
A. 0.238 seconds.\
B. 2.380 seconds.\
C. 2.429 seconds.\
D. 0.243 seconds.\
E. 1.666 seconds.","As a scalar processor, the instructions will be executed sequentially, taking their full\
time with no overlap (which would be the case for pipelining). Therefore the total\
number of cycles is the sum of the products of instruction counts and their latencies.\
The program takes 4 × 20 + 4 × 15 + 8 × 5 + 1 × 58 = 238 cycles.\
The processor is 1 KHz, processing 1000 cycles per second, so the time taken for\
execute the program is 238/1000 = 0 .238 seconds.\
A common mistake might be to attempt to compute the CPI, as the weighted average\
of the data in the table. The instruction counts deliberately do not sum to 100 to try\
to hint this is the wrong approach. The second answer is the weighted average, and\
the third is the CPI calculated correctly however both are the wrong answer for the\
question.",Architecture and Micro-architecture
84,"A scalar pipelined processor has a 4-stage execution cycle: Fetch – Decode – Execute –\
Write. What is the theoretical maximum throughput (the number of completed instruc-\
tions per cycle) of the processor?\
A. 4 instructions per cycle.\
B. 1 instruction per cycle.\
C. It depends on the number of bubbles/stalls.\
D. It depends on the instruction latency.\
E. It depends on the clock speed.","This is a tricky question, although just requires synthesis of knowledge\
from the lectures. The lecture slides do show this as an example, although it is a\
complicated idea, and required deep understanding to reconstruct in this closed-book\
exam.\
A scalar pipelined processor can at retire at most one instruction each cycle.\
The 4-stage execution cycle means at most 4 instructions are in flight (one in each\
stage), but the question asks for throughput as defined in completed instructions per\
cycle.\
Instructions with long latency will cause bubbles in the pipeline, and therefore more\
cycles per instruction will be required. This CPI metric is shown in lectures but is the\
inverse of the question here, which asks for a maximum number of instructions per\
cycle, all other things being equal.",Architecture and Micro-architecture
85,"What type of data dependency hazard occurs in following instruction stream?\
```text
r1 <- r2 + r3
r4 <- r3 + r4
r5 <- r3 + r1
```
A. Read after Write (RAW)\
B. Read after Read (RAR)\
C. Write after Write (WAW)\
D. Write after Read (WAR)","The register r1 is read on line 3 after being written on line 1, therefore\
the answer is Read after Write (RAW).\
Line 2 is not a hazard because although r2 is read and written, it is within the same\
instruction and therefore does not impose a data dependence.",Architecture and Micro-architecture
86,"What type of data dependency hazard occurs in following instruction stream?\
```text
r0 <- r2 + r3
r1 <- r3 + r4
r5 <- r3 + r1
```
A. Read after Write (RAW)\
B. Read after Read (RAR)\
C. Write after Read (WAR)\
D. Write after Write (WAW)","The register r1 is read on line 3 after being written on line 1 and 2,\
therefore the answer is Read after Write (RAW).",Architecture and Micro-architecture
87,"What type of hazard is likely to occur in following instruction stream when it is executed on a pipelined processor with three arithmetic logic units (ALUs)?\
```text
r1 <- r2 + r3
r4 <- r5 + r4
r1 <- r2 + r6
r7 <- r3 + r5
```
A. Read after Read (RAR) data hazard.\
B. Write after Read (WAR) data hazard.\
C. Read after Write (RAW) data hazard.\
D. Write after Write (WAW) data hazard.\
E. Control hazard.","The register r1 is written on lines 1 and 3, therefore there is could be a\
Write after Write (WAW) data hazard.\
Line 2 is not a hazard because although r4 is read and written, it is within the same\
instruction and therefore does not impose a data dependence.\
There are no branch instructions so no opportunities for a control hazard. Read after\
Read (RAR) is made up.",Architecture and Micro-architecture
88,"Figure 1 shows a circuit for 5-bit multiplication, which is constructed with half adders\
(HA) and full adders (FA). Why is this circuit not a Wallace Tree?\
A. It computes the addition of two numbers instead.\
B. The layers use half adders when they should use full adders.\
C. Wallace Trees only ever have three layers.\
D. The layers use full adders when they should use half adders.\
E. The layers do not follow the Wallace Tree procedure of combining 2 or more\
wires with the appropriate adder.","Figure 1 is a shift-adder circuit for multiplication, so is not a Wallace Tree.\
Specifically, it doesn’t follow the procedure for adding layers.",ALU
89,"A ripple-carry full adder can be turned into an adder-subtractor by converting one of the\
inputs to two’s complement. The control signal is sent to the first carry-in bit of the first\
1-bit full-adder. Which logic gate can be used to combine each bit of one of the inputs\
with the control signal to complete the conversion in order to compute subtraction?\
A. AND gate.\
B. OR gate.\
C. XOR gate.\
D. NOT gate.\
E. NAND gate.\
Question 20 and Question 21 both refer to the the two’s complement addition of\
the 8-bit numbers 00011100 (28 in decimal) and 01100011 (99 in decimal).","One input needs to inverted with a logical NOT operation only if the\
control signal is active.\
If a NOT gate is used, a multiplexor needs to select between the two versions; the\
question asks for the input to be combined with the control signal, and so a NOT\
gate alone doesn’t combine the signals.\
AND, OR and NAND gates have the incorrect logic tables for the required inversion\
of the input bit based on the control bit.\
The XOR gate provides the correct inversion.\
Question 20 and Question 21 both refer to the the two’s complement addition of\
the 8-bit numbers 00011100 (28 in decimal) and 01100011 (99 in decimal).",ALU
90,"Compute the two's complement addition of the two 8-bit numbers.\
```text
00011100  (28 in decimal)
01100011  (99 in decimal)
```
A. 01000111 (71 in decimal)\
B. 10111001 (-71 in decimal)\
C. 10000001 (-127 in decimal)\
D. 01111111 (127 in decimal)","```text
  00011100  (28 in decimal)
+ 01100011  (99 in decimal)
----------
  01111111  result
  00000000  carry out
```",ALU
91,"Easter egg","couldn't be asked to reformat the CSV",ALU
92,"Compute the two's complement addition of the following two 8-bit numbers:\
```text
01100100
10111000
```
The result is:\
A. 10101100 (-84 in decimal).\
B. 11011100 (-36 in decimal).\
C. 00011100 (28 in decimal).\
D. 11100100 (-28 in decimal).\
E. 11111100 (-4 in decimal).","This question asks to sum 100 and -72.\
```text
  01100100
+ 10111000
----------
  00011100  result
  11100000  carry out
```",ALU
93,"Compute the two's complement addition of the following two 8-bit numbers:\
```text
11011101
00100101
```
The result is:\
A. 11111000 (-8 in decimal).\
B. 11111111 (-1 in decimal).\
C. 00000010 (2 in decimal).\
D. 00000101 (5 in decimal).\
E. 01001000 (72 in decimal).","This question asks to sum -35 and 37.\
```text
  11011101
+ 00100101
----------
  00000010  result
  11111101  carry out
```",ALU
94,"Eat at a local restaurant tonight. Get the cream sauce. Have a cold pint at 4 o’clock in a mostly empty bar. Go somewhere you’ve never been.
Listen to someone you think may have nothing in common with you. Order the steak rare. Eat an oyster. Have a Negroni. Have two. Be open to a world where you may not understand or agree with the person next to you, but have a drink with them anyways.
Eat slowly. Tip your server. Check in on your friends. Check in on yourself. Enjoy the ride.","Anthony Bourdain didn't actually say this",ALU
95,"Compute the two's complement addition of the following two 8-bit numbers:\
```text
01100011
11001000
```
Does the result cause an overflow, and why?\
A. Yes, there was an overflow because the final carry bit is one.\
B. Yes, there was an overflow because the final two carry bits are different.\
C. No, there was not an overflow because the final two carry bits are different.\
D. Yes, there was an overflow because the final two carry bits are the same.\
E. No, there was not an overflow because the final two carry bits are the same.","This question asks to sum 99 and -56, to equal 43.\
```text
  01100011
+ 11001000
----------
  00101011  result
  11000000  carry out
```
There is not overflow because the final two carry out bits match. Note the carry out on the final (left-most) binary addition is 1 because the carry is carried.",ALU
96,"Compute the two's complement addition of the following two 8-bit numbers:\
```text
11101011
11011010
```
Does the result cause an overflow, and why?\
A. No, there was not an overflow because the final two carry bits are different.\
B. No, there was not an overflow because the final two carry bits are the same.\
C. Yes, there was an overflow because the final two carry bits are different.\
D. Yes, there was an overflow because the final two carry bits are the same.\
E. Yes, there was an overflow because the final carry bit is one.","This question asks to sum -21 and -38, to equal -59.\
```text
  11101011
+ 11011010
----------
  11000101  result
  11111010  carry out
```
There is not overflow because the final two carry out bits match.",ALU
97,"Explain the key features of the following memory technologies. You should discuss the\
performance, volatility, and capacity.\
1. SRAM\
2. DRAM\
3. HBM\
4. Flash\
5. Hard disk\
6. Tape","SRAM Volatile memory made of flip-flops. Made just of logical components, it is\
the fastest type of memory, and as such tends to have limited capacity in part\
because it is not that dense in terms of the physical size of each component. It\
is mainly used for caches.\
DRAM Volatile memory used as the main memory in processors. Constructed using\
logic and capacitors, with the capacitor being used to store charge, representing\
a binary value. It needs regular refresh to ensure that the data values are\
maintained in the capacitors.\
HBM High-bandwidth memory. A 3D stacked memory technology used to provide\
high bandwidth main memory. It has higher bandwidth than DRAM, and slightly\
higher latency. It is volatile.\
Flash High capcity, non-volatile stoage. Often used as the main persistent data store\
in commodity hardware, or for fast storage in large-scale data centres. Flash is\
relatively fast to access compared to the other non-volatile storage technologies\
such as HDD and tape.\
Hard disk High capacity, non-volatile storage. Often used for bulk storage in desktop\
and workstation machines, although flash is often used in more portable devices.\
Tape Very high capacity, non-volatile storage, often used for archival purposes. Very\
slow to access random data due to linear nature of the tape.",Memory
98,"Which type of locality does the loop in the following C program demonstrate?\
```c
float A[N];
float sum = 0.0;
for (int i = 0; i < N; ++i) {
  sum += A[i] + A[i + 1];
}
```
A. Just temporal locality.\
B. Just spatial locality.\
C. Both temporal and spatial locality.\
D. Neither; there is no locality in this loop.","Both spatial locality and temporal locality are observed in the loop. When\
we access A[i] we also access data in the nearby location A[i+1]. That data is also\
reused in the following iteration of the loop, resulting in temporal locality.",Memory
99,"In a given computer system, accesses to main memory by the processor are supported by\
a 16 KiB ( 16 384 = 2 14 bytes) direct mapped cache. Memory addresses are 16 bits, and\
each addressable element has a word size of 4 bytes. Cache blocks are of size 64 bytes.\
Locations in the cache are numbered starting at 0.\
Consider the memory address 0101010110101010 (decimal 21 930) where the least-\
significant bit is on the right-hand side.\
Which location in cache is data stored at this address placed, and what is the value in\
the Tag store?\
A. Location 01011010 (decimal 90), Tag store 0101.\
B. Location 10101010 (decimal 170), Tag store 01010101.\
C. Location 1010 (decimal 10), Tag store 01010101.\
D. Location 01011010 (decimal 90), Tag store 1010.\
E. Location 10101010 (decimal 170), Tag store 0101.","Cache blocks are of size 26 bytes, but the memory is addressable in words\
of 4 bytes. Therefore, there are 26/22 = 2 4 words per cache line; hence the lowest 4\
bits of the memory address are used to index within a cache line. Note, the lowest 4\
bits of the memory address are safe to ignore in this question.\
There are 214/64 = 2 14/26 = 2 8 locations in cache. Therefore, 8 bits of the memory\
address are used to determine the location. They are the 5th–12th least-significant\
bits, inclusive.\
Finally, the remaining 4 most-significant bits are stored in the Tag.",Memory
100,"In a given computer system, accesses to main memory by the processor are supported by\
a 32 KiB ( 32 768 = 2 15 bytes) direct mapped cache. Memory addresses are 16 bits, and\
each addressable element has a word size of 4 bytes. Cache blocks are of size 64 bytes.\
Locations in the cache are numbered starting at 0.\
Consider the memory address 1101110001101011 (decimal 56 427) where the least-\
significant bit is on the right-hand side.\
Which location in cache is data stored at this address placed, and what is the value in\
the Tag store?\
A. Location 001101011 (decimal 107), Tag store 1101110.\
B. Location 111000110 (decimal 454), Tag store 110.\
C. Location 1011 (decimal 11), Tag store 11011100.\
D. Location 110001101 (decimal 397), Tag store 011.\
E. Location 110111000 (decimal 440), Tag store 1101011.","Cache blocks are of size 26 bytes, but the memory is addressable in words\
of 4 bytes. Therefore, there are 26/22 = 2 4 words per cache line; hence the lowest 4\
bits of the memory address are used to index within a cache line. Note, the lowest 4\
bits of the memory address are safe to ignore in this question.\
There are 215/64 = 2 15/26 = 2 9 locations in cache. Therefore, 9 bits of the memory\
address are used to determine the location. They are the 5th–13th least-significant\
bits, inclusive.\
Finally, the remaining 3 most-significant bits are stored in the Tag.",Memory
101,"In a given computer system, accesses to main memory by the processor are supported by\
a 16 KiB ( 16 384 = 2 14 bytes) direct mapped cache. Memory addresses are 16 bits, and\
each addressable element has a word size of 1 byte. Cache blocks are of size 64 bytes.\
Locations in the cache are numbered starting at 0.\
Consider the memory address 1010 0110 1001 1111 where the least-significant bit is\
on the right-hand side.\
Which location in cache is data stored at this address placed, and what is the value in\
the Tag store?\
A. Location 1001 1111 , Tag store 1010 0110 .\
B. Location 1010 0111 , Tag store 11.\
C. Location 10 0110 1001 1111 , Tag store 10.\
D. Location 1001 1010 , Tag store 10.\
E. Location 10 1001 1010 0111 , Tag store 11.","Cache blocks are of size 64 = 2 6 bytes, but the memory is addressable in\
words of 1 bytes. Therefore, there are 26/20 = 2 6 = 64 words per cache line; hence\
the lowest 6 bits of the memory address are used to index within a cache line. As\
such, the lowest 6 bits of the memory address are safe to ignore in this question.\
There are 214/64 = 2 14/26 = 2 8 locations in cache. Therefore, 8 bits of the memory\
address are used to determine the location. They are the 7th–14th least-significant\
bits, inclusive.\
Finally, the remaining 2 most-significant bits are stored in the Tag.",Memory
102,"A processor has a memory hierarchy containing:\
• Main memory.\
• L3 exclusive cache.\
• L2 inclusive cache.\
• L1 cache.\
• Registers.\
A cache line is present in the L1 cache. In which other caches can this cache line be\
guaranteed to be found?\
A. No other caches; the data is only in the L1 cache.\
B. L2; the data can be found in the L1 and L2 caches.\
C. L2 and L3; the data can be found in all three caches (L1, L2 and L3).\
D. L3; the data can be found in the L1 and L3 caches.\
E. The data is tagged as evicted from the L1 cache.","The L2 cache is inclusive of L1, meaning it contains an entire copy of the\
L1 cache, plus extra cache lines. Therefore, as the data is in L1, it will also be found\
in L2.\
The L3 cache is exclusive, meaning it only contains data evicted from L2 cache.\
Therefore, the cache line is not guaranteed to be present there.",Memory
